2024-12-01,QUARK," ", 
2024-12-02,MINOS,MINOS (Main Injector Neutrino Oscillation Search) was an experiment at Fermilab that studied neutrino oscillations using a beam directed 735 km to the Soudan Underground Laboratory. The near and far detectors were 980 tons and 5.4 kilo-tons respectively. They were made of steel and plastic scintillators and provided key measurements of neutrino mass-squared differences.,https://www.symmetrymagazine.org/sites/default/files/styles/2015_hero/public/images/standard/MINOS-s.jpg
2024-12-03,GLUON,A gluon is a massless particle that mediates the strong interaction between quarks binding them into hadrons like protons and neutrons. As a massless vector boson with spin 1 it carries the color charge of the strong force making quantum chromodynamics (QCD) more complex than quantum electrodynamics (QED). The term "gluon" was coined by Murray Gell-Mann in 1962 likening it to an adhesive that holds the nucleus together. Gluons along with quarks were referred to as partons by Richard Feynman.,https://www.sciencefacts.net/wp-content/uploads/2021/11/Gluon.jpg 
2024-12-04,FASER,FASER (or Forward Search Experiment) searches for light and weakly interacting particles predicted by models beyond the Standard Model. These particles could explain dark matter and neutrino masses and the matter-antimatter imbalance. The main LHC detectors cannot detect such particles as they are produced parallel to the proton beamline so FASER is located 480 meters downstream of ATLAS along the beam trajectory where it can detect the decay of these particles. FASERν is a subdetector designed to detect neutrinos. FASERν uses tungsten plates and emulsion films as a target and detector to study these interactions. FASER was installed during CERN's 2019 to 2021 long shutdown and began taking data in July 2022., https://cds.cern.ch/images/CERN-PHOTO-202011-156-12/file?size=medium
2024-12-05,FORCE,In particle physics a force is the exchange of virtual force-carrier particles between two particles. These particles are excitations of a particular force field such as the strong gauge field or the electroweak gauge fields or the Higgs field.,https://i.sstatic.net/jkt8R.png
2024-12-06,LUCID,The LUCID detector is the main luminosity provider of the ATLAS experiment and the only one able to provide a reliable luminosity determination in all beam configurations.,https://www.mdpi.com/universe/universe-05-00011/article_deploy/html/images/universe-05-00011-g001.png
2024-12-07,DONUT,DONUT was a particle physics experiment conducted at Fermilab that made history by confirming the existence of the tau neutrino. This discovery completed the family of neutrinos predicted by the Standard Model and provided important insights into lepton physics.,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/DONUT_neutrino_detector.jpg/400px-DONUT_neutrino_detector.jpg
2024-12-08,FERMI,In particle physics the Fermi interaction (also the Fermi theory of beta decay or the Fermi four-fermion interaction) is an explanation of the beta decay proposed by Enrico Fermi in 1933. The theory posits four fermions directly interacting with one another (at one vertex of the associated Feynman diagram). This interaction explains beta decay of a neutron by direct coupling of a neutron with an electron and a neutrino (later determined to be an antineutrino) and a proton.,https://www.researchgate.net/publication/225485454/figure/fig1/AS:393836690984960@1470909392284/The-4-Fermi-interaction-is-the-sum-over-all-virtual-W-and-Z-boson-exchanges-At-low.png
2024-12-09,AXION,Axions are hypothetical particles proposed as a solution to the strong CP problem in quantum chromodynamics. They are also considered as candidates for dark matter due to their weak interactions and potential to exist in vast quantities throughout the universe.,https://www.tuhogar.com/content/dam/cp-sites/home-care/tu-hogar/en_jm/axion/lemon/axion-lemon-400ml.png
2024-12-10,ANGLE,Angles are crucial in particle physics experiments as they determine the trajectories of particles produced in collisions. By measuring these trajectories physicists can reconstruct interaction events and gain insights into the underlying physics processes.,https://thirdspacelearning.com/wp-content/uploads/2022/08/Angles-SUPER-HUB-image-2.png
2024-12-11,MESON,Mesons are particles composed of one quark and one antiquark bound together by the strong force. They play a fundamental role in understanding the interactions within atomic nuclei and are studied extensively in experiments involving hadron collisions.,https://thirdspacelearning.com/wp-content/uploads/2022/08/Angles-SUPER-HUB-image-2.png
2024-12-12,ALEPH,ALEPH was one of the four main detectors at the Large Electron Positron Collider. It contributed to precision measurements of the Z boson and provided key constraints on the mass and properties of the Higgs boson before its discovery.,https://thirdspacelearning.com/wp-content/uploads/2022/08/Angles-SUPER-HUB-image-2.png
2024-12-13,BOSON,Bosons are particles that obey Bose Einstein statistics and are responsible for mediating the fundamental forces of nature. Examples include the photon for electromagnetism the gluon for the strong force and the Higgs boson for mass generation.,https://thirdspacelearning.com/wp-content/uploads/2022/08/Angles-SUPER-HUB-image-2.png
2024-12-14,TASSO,TASSO was an experiment at the PETRA accelerator in Hamburg Germany that made groundbreaking contributions to particle physics. It is most famous for providing evidence of gluons through the observation of three-jet events in electron positron collisions.,https://thirdspacelearning.com/wp-content/uploads/2022/08/Angles-SUPER-HUB-image-2.png
2024-12-15,ALPHA,ALPHA is an experiment at CERN focused on studying antihydrogen atoms to test fundamental symmetries between matter and antimatter. By examining the properties of antihydrogen ALPHA aims to explore why the universe is dominated by matter rather than antimatter.,https://thirdspacelearning.com/wp-content/uploads/2022/08/Angles-SUPER-HUB-image-2.png
